"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 26 05:21:55 UTC 2022","Sat Nov 26 05:21:55 UTC 2022","0","Test.Item","ItemServiceTestCase","","","","test_add_item",""
"passed","Sat Nov 26 05:21:57 UTC 2022","Sat Nov 26 05:21:57 UTC 2022","1","Test.Invite","InviteServiceTestCase","","","","test_invite_valid",""
"passed","Sat Nov 26 05:21:57 UTC 2022","Sat Nov 26 05:21:57 UTC 2022","7","Test.Wardrobe","WardrobeRepositoryTestCase","","","","test_get_by_id_invalid",""
"passed","Sat Nov 26 05:21:57 UTC 2022","Sat Nov 26 05:21:58 UTC 2022","45","Test.Invite","InviteRepositoryTestCase","","","","test_no_such_wardrobe",""
"passed","Sat Nov 26 05:21:55 UTC 2022","Sat Nov 26 05:21:55 UTC 2022","1","Test.Item","ItemServiceTestCase","","","","test_get_item_by_id",""
"passed","Sat Nov 26 05:21:54 UTC 2022","Sat Nov 26 05:21:54 UTC 2022","0","Test.User","UserServiceTestCase","","","","test_change_domain_name",""
"passed","Sat Nov 26 05:21:57 UTC 2022","Sat Nov 26 05:21:57 UTC 2022","1","Test.Wardrobe","WardrobeServiceTestCase","","","","test_remove_user_invalid",""
"passed","Sat Nov 26 05:21:55 UTC 2022","Sat Nov 26 05:21:55 UTC 2022","5","Test.User","UserRepositoryTestCase","","","","test_assert_renew_register",""
"passed","Sat Nov 26 05:21:55 UTC 2022","Sat Nov 26 05:21:55 UTC 2022","2","Test.Item","ItemRepositoryTestCase","","","","test_incorrect_add_item_from_invalid_user",""
"passed","Sat Nov 26 05:21:56 UTC 2022","Sat Nov 26 05:21:56 UTC 2022","12","Test.Wardrobe","WardrobeRepositoryTestCase","","","","test_get_by_id_valid",""
"passed","Sat Nov 26 05:21:55 UTC 2022","Sat Nov 26 05:21:55 UTC 2022","20","Test.User","UserRepositoryTestCase","","","","test_correct_register_user",""
"passed","Sat Nov 26 05:21:54 UTC 2022","Sat Nov 26 05:21:54 UTC 2022","0","Test.User","UserServiceTestCase","","","","test_register_valid",""
"passed","Sat Nov 26 05:21:57 UTC 2022","Sat Nov 26 05:21:57 UTC 2022","0","Test.Invite","InviteServiceTestCase","","","","test_who_invites_me_valid",""
"passed","Sat Nov 26 05:21:58 UTC 2022","Sat Nov 26 05:21:58 UTC 2022","46","Test.Invite","InviteRepositoryTestCase","","","","test_corrent_get_invites",""
"passed","Sat Nov 26 05:21:55 UTC 2022","Sat Nov 26 05:21:55 UTC 2022","1","Test.Item","ItemServiceTestCase","","","","test_remove_by_id_item",""
"passed","Sat Nov 26 05:21:55 UTC 2022","Sat Nov 26 05:21:55 UTC 2022","2","Test.Item","ItemServiceTestCase","","","","test_update_worng_id_item",""
"passed","Sat Nov 26 05:21:54 UTC 2022","Sat Nov 26 05:21:54 UTC 2022","0","Test.User","UserServiceTestCase","","","","test_register_invalid",""
"passed","Sat Nov 26 05:21:57 UTC 2022","Sat Nov 26 05:21:57 UTC 2022","9","Test.Wardrobe","WardrobeRepositoryTestCase","","","","test_get_all_wardrobes_by_login_valid",""
"passed","Sat Nov 26 05:21:56 UTC 2022","Sat Nov 26 05:21:56 UTC 2022","1","Test.Look","LookServiceTestCase","","","","test_create_look",""
"passed","Sat Nov 26 05:21:57 UTC 2022","Sat Nov 26 05:21:57 UTC 2022","0","Test.Wardrobe","WardrobeServiceTestCase","","","","test_internal_creatoin_error",""
"passed","Sat Nov 26 05:21:55 UTC 2022","Sat Nov 26 05:21:55 UTC 2022","0","Test.Item","ItemServiceTestCase","","","","test_remove_by_wrong_id_item",""
"passed","Sat Nov 26 05:21:56 UTC 2022","Sat Nov 26 05:21:56 UTC 2022","0","Test.Look","LookServiceTestCase","","","","test_get_look",""
"passed","Sat Nov 26 05:21:56 UTC 2022","Sat Nov 26 05:21:56 UTC 2022","15","Test.Look","LookRepositoryTestCase","","","","test_correct_add_look",""
"passed","Sat Nov 26 05:21:55 UTC 2022","Sat Nov 26 05:21:55 UTC 2022","0","Test.Item","ItemServiceTestCase","","","","test_update_item",""
"passed","Sat Nov 26 05:21:56 UTC 2022","Sat Nov 26 05:21:56 UTC 2022","15","Test.Look","LookRepositoryTestCase","","","","test_correct_get_look_by_id_test",""
"passed","Sat Nov 26 05:21:56 UTC 2022","Sat Nov 26 05:21:56 UTC 2022","4","Test.Wardrobe","WardrobeRepositoryTestCase","","","","test_create_invalid",""
"passed","Sat Nov 26 05:21:55 UTC 2022","Sat Nov 26 05:21:55 UTC 2022","3","Test.User","UserRepositoryTestCase","","","","test_correct_change_username",""
"passed","Sat Nov 26 05:21:57 UTC 2022","Sat Nov 26 05:21:57 UTC 2022","1","Test.Invite","InviteServiceTestCase","","","","test_invite_to_invalid_wardrobe",""
"passed","Sat Nov 26 05:21:57 UTC 2022","Sat Nov 26 05:21:57 UTC 2022","13","Test.Invite","InviteRepositoryTestCase","","","","test_correct_invite",""
"passed","Sat Nov 26 05:21:57 UTC 2022","Sat Nov 26 05:21:57 UTC 2022","7","Test.Wardrobe","WardrobeRepositoryTestCase","","","","test_get_all_wardrobes_by_login_invalid",""
"passed","Sat Nov 26 05:21:55 UTC 2022","Sat Nov 26 05:21:55 UTC 2022","7","Test.User","UserRepositoryTestCase","","","","test_correct_login_user",""
"passed","Sat Nov 26 05:21:57 UTC 2022","Sat Nov 26 05:21:57 UTC 2022","1","Test.Invite","InviteServiceTestCase","","","","test_decline_invite",""
"passed","Sat Nov 26 05:21:55 UTC 2022","Sat Nov 26 05:21:55 UTC 2022","0","Test.Item","ItemServiceTestCase","","","","test_get_item_by_wrong_id",""
"passed","Sat Nov 26 05:21:55 UTC 2022","Sat Nov 26 05:21:55 UTC 2022","4","Test.User","UserRepositoryTestCase","","","","test_incorrect_login",""
"passed","Sat Nov 26 05:21:57 UTC 2022","Sat Nov 26 05:21:57 UTC 2022","0","Test.Wardrobe","WardrobeServiceTestCase","","","","test_valid_create",""
"passed","Sat Nov 26 05:21:56 UTC 2022","Sat Nov 26 05:21:56 UTC 2022","1","Test.Look","LookServiceTestCase","","","","test_update_look",""
"passed","Sat Nov 26 05:21:57 UTC 2022","Sat Nov 26 05:21:57 UTC 2022","0","Test.Wardrobe","WardrobeServiceTestCase","","","","test_remove_user_valid",""
"passed","Sat Nov 26 05:21:58 UTC 2022","Sat Nov 26 05:21:58 UTC 2022","12","Test.Invite","InviteRepositoryTestCase","","","","test_empty_invites",""
"passed","Sat Nov 26 05:21:56 UTC 2022","Sat Nov 26 05:21:56 UTC 2022","7","Test.Wardrobe","WardrobeRepositoryTestCase","","","","test_create_valid",""
"passed","Sat Nov 26 05:21:54 UTC 2022","Sat Nov 26 05:21:54 UTC 2022","0","Test.User","UserServiceTestCase","","","","test_login",""
"passed","Sat Nov 26 05:21:57 UTC 2022","Sat Nov 26 05:21:57 UTC 2022","13","Test.Invite","InviteRepositoryTestCase","","","","test_incorrect_invite",""
"passed","Sat Nov 26 05:21:57 UTC 2022","Sat Nov 26 05:21:57 UTC 2022","0","Test.Invite","InviteServiceTestCase","","","","test_accept_invite",""
"passed","Sat Nov 26 05:21:55 UTC 2022","Sat Nov 26 05:21:55 UTC 2022","12","Test.Item","ItemRepositoryTestCase","","","","test_correct_add_item",""
"passed","Sat Nov 26 05:21:56 UTC 2022","Sat Nov 26 05:21:56 UTC 2022","20","Test.Look","LookRepositoryTestCase","","","","test_correct_update_look_test",""
"passed","Sat Nov 26 05:21:55 UTC 2022","Sat Nov 26 05:21:55 UTC 2022","13","Test.Item","ItemRepositoryTestCase","","","","test_correct_update_item",""
"passed","Sat Nov 26 05:21:55 UTC 2022","Sat Nov 26 05:21:55 UTC 2022","5","Test.Item","ItemRepositoryTestCase","","","","test_correct_remove_item",""
"passed","Sat Nov 26 05:21:56 UTC 2022","Sat Nov 26 05:21:56 UTC 2022","1","Test.Look","LookServiceTestCase","","","","test_get_look_wrong_id",""
